,Course Code,Title,EOS,Mid
51,LY408,Design (Common Entry),#307,368.0
52,LY508,Fire Safety Engineering,270,299.0
53,LY518,Quantity Surveying,307,368.0
54,LY528,Construction Management,267,291.0
0,LY608,Mechanical Engineering,304,333.0
1,LY618,Electronics and Embedded Systems,307,339.0
2,LY708,Applied Computing,300,348.0
3,LY818,Science (Common Entry),302,371.0
4,LY828,Agriculture (Common Entry),300,342.0
5,LY908,General Nursing,383,390.0
6,LY918,Psychiatric Nursing,291*,332.0
7,LY928,Intellectual Disability Nursing,288,299.0
8,LY968,"Early Childhood Care, Health and Education",300,336.0
9,LY978,Health & Social Care (Common Entry),260,299.0
10,,Mary Immaculate College,,
11,MI001,Contemporary & Applied Theatre Studies,345,381.0
12,MI002,Arts (offered in conjunction with the University of Limerick),300,378.0
13,MI005,Education - Primary Teaching,473*,506.0
14,MI006,Education - Primary Teaching (Gaeltacht Applicants),#442,473.0
15,MI007,Early Childhood Care and Education,366,402.0
16,MI008,Education and Psychology - Primary Teaching,543,555.0
17,MI009,"Education, Business Studies and Accounting (Thurles Campus)",392,420.0
18,MI010,"Education, Business Studies and Religious Studies (Thurles Campus)",326,355.0
19,MI011,"Education, Irish and Religious Studies (Thurles Campus)",377,387.0
20,MI012,"Education, Irish and Business Studies (Thurles Campus)",398,440.0
21,MI013,"Education, Mathematics and Gaeilge (Thurles Campus)",433,465.0
22,,Irish College of Humanities & Applied Sciences,,
23,CI101,Counselling and Psychotherapy (Limerick),276,328.0
24,,Limerick Institute of Technology,,
25,LC110,"Art and Design (Common Entry, portfolio)",#734,918.0
26,LC114,Fashion and Textiles for Product and Costume (portfolio),#900,988.0
27,LC220,Digital Marketing,254,288.0
28,LC223,Law and Taxation,308,372.0
29,LC224,Accounting and Finance,299,382.0
30,LC225,Marketing and Management,298,337.0
31,LC226,Enterprise and Innovation,216,298.0
32,LC233,Software Development,300,371.0
33,LC234,Interactive Digital Media,219,288.0
34,LC236,Internet Systems Development,298,319.0
35,LC239,Computer Networks and Systems Management,335,347.0
36,LC241,Construction Management,276,303.0
37,LC242,Property Valuation and Management,292,328.0
38,LC243,Quantity Surveying,281,360.0
39,LC248,Built Environment (Common Entry),307,350.0
40,LC252,Civil Engineering Management,281,331.0
41,LC263,Clinical Technology,282,359.0
42,LC265,Forensic and Pharmaceutical Sciences,335,368.0
43,LC266,Drug and Medicinal Product Analysis,236,299.0
44,LC275,Electrical Engineering,288,340.0
45,LC288,Mechanical Engineering,307,360.0
46,LC289,Precision Engineering,280,369.0
47,LC292,Social Care Work,360,389.0
48,LC293,Business Studies with Travel and Tourism Management,299,326.0
49,LC294,Business Studies with Event Management,271,300.0
50,LC295,Business Studies with Sports Management,263,298.0
51,LC297,Community Development,217,269.0
52,LC320,Business,337,378.0
53,LC330,Business with Computing,298,326.0
54,LC340,Interior Design,298,349.0
0,LC362,Biotechnology and Biopharmaceutical Sciences,379,402.0
1,LC371,Creative Broadcast and Film Production,298,339.0
2,LC372,Music Technology and Production,321,369.0
3,LC374,Renewable and Electrical Energy Engineering,317,368.0
4,LC375,Industrial Automation & Robotic Systems,321,368.0
5,LC376,Electronic Engineering,308,346.0
6,LC380,Automotive Engineering and Transport Management,282,329.0
7,LC392,Beauty and Spa Management,217,318.0
8,LC393,Early Childhood Education & Care,260,309.0
9,LC401,Early Childhood Education & Care (Thurles),298,387.0
10,LC402,Social Care Work (Thurles),209,290.0
11,LC408,Environmental and Geographical Sciences (Thurles),262,346.0
12,LC411,Marketing and Management (Thurles),226,300.0
13,LC418,Computing - Games Design and Development (Thurles),271,318.0
14,LC422,Sports Strength and Conditioning (Thurles),288,333.0
15,LC434,Environmental Management in Agriculture (Thurles),278,347.0
16,LC502,"Game Art and Design (Clonmel, portfolio)",#838,950.0
17,LC517,Creative Media and Design (Clonmel),229,273.0
18,LC518,"Digital Animation Production (Clonmel, portfolio)",#816,962.0
19,LC612,Social Care Work (Ennis),319,338.0
20,LC613,Early Childhood Education & Care (Ennis),346,388.0
21,,University of Limerick,,
22,LM002,Arts (offered in conjunction with Mary Immaculate College),329,388.0
23,LM020,Law and Accounting,436,476.0
24,LM026,Performing Arts (audition required),#307,367.0
25,LM028,Criminal Justice,387,409.0
26,LM029,Law Plus,473,499.0
27,LM038,Psychology and Sociology,478,489.0
28,LM039,Journalism and New Media,388,430.0
29,LM040,European Studies,350,462.0
30,LM044,Applied Languages,404,473.0
31,LM050,Business Studies,419,455.0
32,LM056,International Business,511,543.0
33,LM058,Financial Mathematics,434,543.0
34,LM063,Technology Management,372,409.0
35,LM068,Food Science and Health,400,430.0
36,LM076,Product Design and Technology (portfolio required),#402,466.0
37,LM077,Aeronautical Engineering,469,531.0
38,LM082,Construction Management and Engineering,368,404.0
39,LM089,Sport and Exercise Sciences,441,466.0
40,LM090,Physical Education with concurrent Teacher Education,498*,520.0
41,LM092,Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),478,509.0
42,LM093,Equine Science,338,381.0
43,LM094,Materials and Architectural Technology with concurrent Teacher Education,405,433.0
44,LM095,Materials and Engineering Technology with concurrent Teacher Education,358,409.0
45,LM096,Science with Teacher Ed (Physical Sciences with Chemistry and Physics),382,422.0
46,LM099,Architecture (portfolio required),#419,473.0
47,LM100,Physiotherapy,565*,577.0
48,LM101,Medicine  - Graduate Entry (GAMSAT required),#55*,57.0
49,LM102,Psychology,495,519.0
50,LM103,Paramedic Studies (B and C1 Drivers Licence),#313,403.0
51,LM115,Chemical and Biochemical Engineering,456,520.0
52,LM116,Engineering (Biomedical/Civil/Design and Manufacture/Mechanical),434,498.0
53,LM118,Electronic and Computer Engineering,401,498.0
54,LM121,Computer Science (Computer Systems/Games Dev/Mobile Comm Security),352,420.0
0,LM122,Creative Media and Interaction Design (Digital Design/Music Media Tech),330,430.0
1,LM123,Biological & Chemical Sciences (Biosci/Envir Sci/Ind Bio/IndPharma Chem),412,455.0
2,LM124,Mathematics (Math Science/Maths and Physics/Economics and Math Science),427,521.0
3,LM125,Physics (Applied Physics/Mathematics and Physics),405,509.0
4,LM150,General Nursing,440*,463.0
5,LM152,Mental Health Nursing,388,418.0
6,LM154,Intellectual Disability Nursing,381*,408.0
7,LM156,Midwifery,429,444.0
8,,"Pontifical University, St Patrick\'s College",,
9,MU001,Theology and Arts,290,318.0
10,MU002,Theology,292,377.0
11,,Maynooth University,,
12,MH001,Education - Primary Teaching (Froebel),496*,520.0
13,MH002,Education - Primary Teaching - Gaeltacht Applicants (Froebel),#441*,
14,MH101,Arts,316,369.0
15,MH103,Music,#,367.0
16,MH106,Psychology - 3 years,495,499.0
17,MH107,Social Science,326,349.0
18,MH109,Media Studies,317,377.0
19,MH116,Community and Youth Work (Full-Time),#,271.0
20,MH201,Science,350,392.0
21,MH202,Biotechnology,429,446.0
22,MH204,Physics with Astrophysics,420,488.0
23,MH206,Theoretical Physics and Mathematics,498,566.0
24,MH207,Data Science,434,466.0
25,MH208,Biological and Biomedical Sciences,451,476.0
26,MH209,Psychology (through Science) - 4 years,473,485.0
27,MH210,Pharmaceutical and Biomedical Chemistry,446,466.0
28,MH212,Science/Computer Science/Mathematics (with Education) - options,444,476.0
29,MH304,Engineering (Computer/Electronic/Communications),371,423.0
30,MH305,Product Design,358,411.0
31,MH306,Robotics and Intelligent Devices,361,424.0
32,MH401,Finance (options),352,392.0
33,MH402,Quantitative Finance,476,487.0
34,MH403,Accounting and Finance,402,432.0
35,MH404,Business (options),400,429.0
36,MH405,Equine Business,357,398.0
37,MH407,Business and Accounting,401,420.0
38,MH411,Entrepreneurship,358,388.0
39,MH501,LLB Law - four year Single Major Law programme,451,476.0
40,MH502,Law (options),410,442.0
41,MH601,Computer Science through Arts (options),342,369.0
42,MH602,Computer Science through Science (options),357,413.0
43,MH603,Computational Thinking,520,543.0
44,MH801,Early Childhood - Teaching and Learning (part-time),347,358.0
45,MH802,"Community and Youth Work (part-time, in service",#,
46,MH803,"Local Studies or Community Studies (part-time, evening)- Mature Students",#,
47,,St. Angela`s College,,
48,AS001,"Education, Home Economics and Biology - with concurrent Teacher Ed",456*,497.0
49,AS002,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",400*,433.0
50,AS003,"Education, Home Economics and Irish - with concurrent Teacher Ed",421,457.0
51,AS051,"Nutrition, Food and Business Management",337,399.0
52,AS054,Home Economics,387,401.0
53,AS110,General Nursing,391*,409.0
54,AS130,Intellectual Disability Nursing,317,338.0
0,,"Institute of Technology, Sligo",,
1,SG141,Business,252,317.0
2,SG142,Business in International Marketing and Sales with French,270,388.0
3,SG144,Business in International Marketing and Sales with Spanish,280,388.0
4,SG146,Accounting,307,347.0
5,SG147,Sport with Business,269,316.0
6,SG148,Tourism with Event Management,246,282.0
7,SG149,Business in Finance and Investment,262,357.0
8,SG241,Performing Arts,279,348.0
9,SG242,Early Childhood Care and Education,278,318.0
10,SG243,Social Care Practice,297,338.0
11,SG244,Fine Art,#355,496.0
12,SG245,Creative Design,261,338.0
13,SG246,Computing,295,368.0
14,SG247,English and Psychology,308,336.0
15,SG248,Sociology and Politics,282,320.0
16,SG249,Writing and Literature,279,338.0
17,SG250,Application Design and User Experience,290,431.0
18,SG251,Computing (Smart Technologies),303,391.0
19,SG252,Software Development,300,354.0
20,SG253,Computer Networks and Cloud Infrastructure,273,341.0
21,SG343,Quantity Surveying,261,302.0
22,SG346,Construction Project Management and Applied Technology,289,351.0
23,SG347,Architecture,309,357.0
24,SG441,Environmental Science,297,358.0
25,SG442,Occupational Safety and Health,289,330.0
26,SG443,Human Nutrition,357,419.0
27,SG444,Science (Undenominated),308,369.0
28,SG445,Pharmaceutical Science with Drug Development,347,369.0
29,SG446,Applied Archaeology,289,290.0
30,SG447,Health Science and Physical Activity,316,363.0
31,SG448,Forensic Investigation and Analysis,306,348.0
32,SG449,Medical Biotechnology,329,352.0
33,,"Institute of Technology, Tralee",,
34,TL801,Animation Visual Effects and Motion Design,281,341.0
35,TL802,"TV, Radio and New Media",306,356.0
36,TL803,Music Technology,264,288.0
37,TL810,Computing with Software Development,309,341.0
38,TL811,Computing with Games Development,310,334.0
39,TL812,Computing with Digital Media,369,369.0
40,TL815,Computing (Degree Award options),308,378.0
41,TL823,Event Management (3 year programme),291,346.0
42,TL831,Business Studies (Major Specialism in: Acctng or Mktg or Mgmnt),307,372.0
43,TL842,Construction Management,,
44,TL844,Agricultural Engineering,311,368.0
45,TL845,Civil Engineering,300,364.0
46,TL847,Manufacturing Engineering,,
47,TL848,Agricultural Science,331,362.0
48,TL851,Wildlife Biology (Degree Award options),310,362.0
49,TL855,Pharmaceutical Science (Degree Award options),342,386.0
50,TL858,Veterinary Bioscience,326,369.0
51,TL871,Health and Leisure (Degree Award options),303,346.0
52,TL872,Health and Leisure with Massage,288,357.0
53,TL873,Coaching and Sports Performance,282,336.0
54,TL880,Early Childhood Care and Education,307,347.0
0,TL881,Social Care,308,356.0
1,TL889,Counselling with Addiction - Mature applicants only,#,
2,TL890,General Nursing and Mature Applicants,407,431.0
3,TL891,Mental Health Nursing and Mature Applicants,367*,379.0
4,,Waterford Institute of Technology,,
5,WD001,Applied Computing (options),279,358.0
6,WD002,Science (options),302,377.0
7,WD005,Health Sciences (options),288,347.0
8,WD006,Exercise Sciences (options),282,337.0
9,WD007,Engineering (options),287,382.0
10,WD025,Construction Management and Engineering,269,327.0
11,WD027,Music,#290,317.0
12,WD048,Business (options),278,357.0
13,WD084,Accounting,307,403.0
14,WD091,Hospitality Management,210,281.0
15,WD116,General Nursing,413,430.0
16,WD117,Psychiatric Nursing,361,382.0
17,WD120,Intellectual Disability Nursing,338,359.0
18,WD134,International Business,289,350.0
19,WD137,Design (Visual Communications),253,373.0
20,WD140,Laws,290,352.0
21,WD144,Architecture,283,385.0
22,WD147,Pharmaceutical Science,298,363.0
23,WD148,Tourism Marketing,269,338.0
24,WD149,Early Childhood Studies,288,336.0
25,WD150,Criminal Justice Studies,271,311.0
26,WD152,Visual Art,253,323.0
27,WD161,Computer Forensics and Security,262,401.0
28,WD162,Quantity Surveying,260,320.0
29,WD163,Psychology,390,429.0
30,WD186,Sports Coaching and Performance,276,327.0
31,WD187,Social Science,271,321.0
32,WD191,Agricultural Science,378,421.0
33,WD192,Social Care Practice,279,323.0
34,WD193,Marketing and Digital Media,290,358.0
35,WD194,Culinary Arts,235,331.0
36,WD195,Architectural and Building Information Modelling Technology,266,305.0
37,WD200,Arts (options),221,296.0
38,WD210,Software Systems Development,271,329.0
39,WD211,Creative Computing,275,322.0
40,WD212,Recreation and Sport Management,274,311.0
41,WD230,Mechanical and Manufacturing Engineering,273,348.0
0,CW258,Cybercrime and IT Security,300,328.0
1,CW268,Computing in Interactive Digital Art and Design,274,321.0
2,CW438,Construction (options),271,308.0
3,CW468,Architectural Technology,252,290.0
4,CW478,Civil Engineering,348,383.0
5,CW548,Mechanical Engineering,310,351.0
6,CW558,Electronic Systems,279,338.0
7,CW568,Aerospace Engineering,366,422.0
8,CW578,TV and Media Production,327,361.0
9,CW708,Law - LLB,298,328.0
10,CW728,Product Design Innovation,286,355.0
11,CW748,Early Childhood Education and Care,265,338.0
12,CW758,Applied Social Studies - Professional Social Care,290,319.0
13,CW808,Media and Public Relations,248,307.0
14,CW848,Digital Marketing with Analytics,279,307.0
15,CW858,"Sports Management and Coaching (options, portfolio)",#700,700.0
16,CW908,Business (options),260,307.0
17,CW938,Business with Law,270,288.0
18,CW948,Accounting,301,408.0
19,,"Carlow College, St. Patrick`s",,
20,PC405,"Social, Political and Community Studies",251,296.0
21,PC410,Arts and Humanities (fulfils Teaching Council requirements),203,289.0
22,PC411,English and History (fulfils Teaching Council requirements),168,289.0
